OrgName,COUNTY_NAME,LEAName
Westford Elementary School,Chittenden,Westford
Westminster Schools,Windham,Westminster
Westshire School,Orange,Rivendell Interstate School District
Weybridge Elementary School,Addison,Weybridge
Whitcomb Jr/Sr High School,Windsor,Bethel
White River School,Windsor,Hartford
Whiting Village School,Addison,Whiting
Whitingham Elementary School,Windham,Whitingham
Williamstown Elementary School,Orange,Williamstown
Williamstown Middle/High School,Orange,Williamstown
Williston Schools,Chittenden,Williston
Windham Elementary School,Windham,Windham
Windsor High School,Windsor,Windsor
Windsor State Street School,Windsor,Windsor
Winooski High School,Chittenden,Winooski ID
Winooski Middle School,Chittenden,Winooski ID
Wolcott Elementary School,Lamoille,Wolcott
Woodbury Elementary School,Washington,Woodbury
Woodford Hollow School,Bennington,Woodford
Woodstock Elementary School,Windsor,Woodstock
Woodstock Senior UHS #4,Windsor,Woodstock UHSD #4
Woodstock Union Middle School,Windsor,Woodstock UHSD #4
